ID,start_time,end_time,title
KQ3pdH2ki4A,02:44,06:14,ピアノ発表会♪小学5年生が「エリーゼのために」を発表会本番で演奏！グランドピアノで。
jFqNaH1FoEM,00:26,02:38,randma can you play Elise?【８０才】【どっきり】おばあちゃん、エリーゼ弾ける？
N6ei3xMoD4k,00:55,06:07,もうすぐピアノ発表会！本番1ヶ月前の練習♪どこまで上達した？【エリーゼのために】
KtjdZKrl-j8,00:01,02:49,【都庁ピアノ】「エリーゼのために」を演奏してみた！
C0dk7_60eHU,00:00,02:56,【演奏】エリーゼのために/ベートーベン(ピアノ)/Beethoven-Für Elise For Elise(piano)
5gsmpNlNwQ4,00:03,03:50,ピアノ5ヶ月 エリーゼのためにを40日間練習しました
BSXV1crkcKc,00:05,03:04,エリーゼのために/ベートーヴェン/Für Elise（For Elise)/Beethoven/ピアノ/Piano/弾いてみた/CANACANA
IkyJa7spXe8,00:02,03:29,【初心者向け/ピアノ練習】ベートーヴェン - 「エリーゼのために」-フル演奏Ver-（Piano/Beethoven/FürElise）
_a1AgqemdVE,03:54,04:25,ド素人が２年間毎日、ピアノを練習してみた
SwQdLGQf4QM,00:00,02:13,【猛練習中】１ヶ月エリーゼのためにを練習したら、娘はエリーゼの方になりました。［エリーゼのために］ベートーヴェン/ピアノ演奏
LSdRSXReAdM,00:02,03:51,エリーゼのために/Fur Elise 近藤由貴 Yuki Kondo
FO8BsF6mXaw,00:06,03:38,ür Elise/Ludwig van Beethoven エリーゼのために/ベートーヴェン　Takashi Obara 小原孝
_tlnYH1gyuA,00:01,02:26,アリス＝紗良・オット：エリーゼのために
2oGJrufm_4w,00:09,02:56,新企画【千秋ピアノ】 エリーゼのために
m5UkT97b4LY,00:05,00:50,エリーゼのために/ベートーヴェンを弾く山川穂高 ｰ For Elise/Beethoven
qNmzeI9lk_4,03:09,06:05,【感動】小田原駅でエリーゼのためにをガチ演奏！小学生ピアニストの本気
Z_-hWZetOS0,00:19,03:18,エリーゼのために♪ベートーベン　幼稚園年長　6歳
hpfWd31CiGo,00:00,02:52,エリーゼのために （ベートーヴェン） 横内愛弓
FK4b9aEDj8A,00:03,02:57,大人初心者　エリーゼのために、弾きました
Ohq4fbIkPiA,00:14,03:26,【都庁ピアノ】永遠の名曲【エリーゼのために】Für Elise/For Elise
ZhtGl9JmxR4,00:24,03:34,【エリーゼのために】小学2年生 最後で本気のピアノ演奏！Für Elise / Beethoven
ZAsBiDXRQdM,00:00,02:15,エリーゼのために(ベートーベン作曲）小2のY君
_DUSWE8qbgA,00:00,02:53,ベートーヴェン作曲 エリーゼのために/小学４年生 あやちゃん
t3LtPjj3C84,00:03,02:32,TNA2015コンペ全国決勝／C級 金賞 渡邉奏
vNC-T_y0RVU,00:04,03:07,ベートーヴェン: バガテル「エリーゼのために」　イ短調　Beethoven Ludwig van／Bagatelle 'Für Elise'　WoO.59 Pf.萬谷衣里:Mantani Eri
73tAER-jzm8,00:21,03:31,【今聴きたいピアノ曲】エリーゼのために〜ベートーヴェン Beethoven: Für Elise
wmm-spjr-CE,00:01,02:52,【ピアノ発表会おすすめ】エリーゼのために ♫ ベートーヴェン / Fur Elise Beethoven
p3vJq7HNoJI,00:00,01:34,エリーゼのために　うらがみのぴあ
xVyhTmihBtg,00:05,03:30,大人から始めるピアノ　fur Elise 　エリーゼのために
fWlj4ayqxOc,00:00,03:45,「エリーゼのために」
ID,start_time,end_time,title
1,0:00,0:29,Mary had a little lamb
2,0:02,0:22,hymn of praise
3,0:26,0:50,the popcorn man
4,0:55,1:35,charlie the chimp
5,1:40,2:05,a riddle
6,0:08,0:58,take me out to the ball game
7,0:01,1:17,2016-11-04 Samuel Piano Practice
8,0:00,0:56,come and dance the polka
9,0:00,0:28,funny event
10,0:00,0:51,on the run
11,0:00,1:00,the sparkling brook
12,0:00,0:19,the hunt
13,0:00,0:56,down in the valley
14,0:00,1:28,ballade (burgmuller)
15,0:00,2:28,bach prelude in c major
16,0:03,2:30,tarantella fantastica
17,0:00,1:03,reflections
18,0:00,1:42,schumann folk song
19,0:01,0:43,screamin cat boogie
20,0:14,1:55,gentle breeze
21,5:11,7:30,bach courante
22,7:37,10:01,soler sonata in f
23,10:10,13:40,scott water wagtail
24,0:01,1:05,hiller-polnisches
25,0:03,2:17,slow air
26,0:05,2:32,tarantella (albert pieczonka)
27,0:07,1:07,invention no 8 in f major
28,1:15,3:05,sonatina in c major friedrich kuhlau
29,3:14,4:17,waltz by viktor kosenko
30,0:03,3:27,Turkish march mozart
31,0:06,2:36,bach BWV829
