id1,id2,label
elise01,elise02,0
elise01,elise03,1
elise01,elise04,-1
elise01,elise05,-1
elise01,elise06,-1
elise01,elise07,-1
elise01,elise08,-1
elise01,elise09,-1
elise01,elise10,0
elise01,elise11,-1
elise01,elise12,-1
elise01,elise13,-1
elise01,elise14,-1
elise01,elise15,-1
elise01,elise16,1
elise01,elise17,1
elise01,elise18,-1
elise01,elise19,-1
elise01,elise20,-1
elise01,elise21,0
elise01,elise22,0
elise01,elise23,-1
elise01,elise24,-1
elise01,elise25,-1
elise01,elise26,-1
elise01,elise27,-1
elise01,elise28,-1
elise01,elise29,-1
elise01,elise30,-1
elise02,elise03,1
elise02,elise04,-1
elise02,elise05,-1
elise02,elise06,1
elise02,elise07,-1
elise02,elise08,-1
elise02,elise09,-1
elise02,elise10,0
elise02,elise11,-1
elise02,elise12,-1
elise02,elise13,-1
elise02,elise14,1
elise02,elise15,-1
elise02,elise16,1
elise02,elise17,0
elise02,elise18,-1
elise02,elise19,-1
elise02,elise20,-1
elise02,elise21,1
elise02,elise22,0
elise02,elise23,1
elise02,elise24,-1
elise02,elise25,-1
elise02,elise26,-1
elise02,elise27,-1
elise02,elise28,-1
elise02,elise29,1
elise02,elise30,1
elise03,elise04,-1
elise03,elise05,-1
elise03,elise06,-1
elise03,elise07,-1
elise03,elise08,-1
elise03,elise09,-1
elise03,elise10,-1
elise03,elise11,-1
elise03,elise12,-1
elise03,elise13,-1
elise03,elise14,-1
elise03,elise15,-1
elise03,elise16,-1
elise03,elise17,-1
elise03,elise18,-1
elise03,elise19,-1
elise03,elise20,-1
elise03,elise21,-1
elise03,elise22,-1
elise03,elise23,-1
elise03,elise24,-1
elise03,elise25,-1
elise03,elise26,-1
elise03,elise27,-1
elise03,elise28,-1
elise03,elise29,-1
elise03,elise30,-1
elise04,elise05,-1
elise04,elise06,0
elise04,elise07,-1
elise04,elise08,-1
elise04,elise09,0
elise04,elise10,0
elise04,elise11,-1
elise04,elise12,-1
elise04,elise13,-1
elise04,elise14,1
elise04,elise15,0
elise04,elise16,0
elise04,elise17,-1
elise04,elise18,-1
elise04,elise19,-1
elise04,elise20,-1
elise04,elise21,0
elise04,elise22,0
elise04,elise23,-1
elise04,elise24,-1
elise04,elise25,-1
elise04,elise26,-1
elise04,elise27,-1
elise04,elise28,0
elise04,elise29,-1
elise04,elise30,0
elise05,elise06,1
elise05,elise07,0
elise05,elise08,1
elise05,elise09,1
elise05,elise10,1
elise05,elise11,1
elise05,elise12,0
elise05,elise13,0
elise05,elise14,1
elise05,elise15,1
elise05,elise16,1
elise05,elise17,1
elise05,elise18,0
elise05,elise19,1
elise05,elise20,0
elise05,elise21,1
elise05,elise22,1
elise05,elise23,0
elise05,elise24,0
elise05,elise25,0
elise05,elise26,0
elise05,elise27,0
elise05,elise28,1
elise05,elise29,1
elise05,elise30,1
elise06,elise07,-1
elise06,elise08,-1
elise06,elise09,0
elise06,elise10,0
elise06,elise11,-1
elise06,elise12,-1
elise06,elise13,-1
elise06,elise14,1
elise06,elise15,1
elise06,elise16,0
elise06,elise17,0
elise06,elise18,-1
elise06,elise19,-1
elise06,elise20,-1
elise06,elise21,0
elise06,elise22,0
elise06,elise23,-1
elise06,elise24,-1
elise06,elise25,-1
elise06,elise26,-1
elise06,elise27,-1
elise06,elise28,-1
elise06,elise29,0
elise06,elise30,0
elise07,elise08,1
elise07,elise09,1
elise07,elise10,1
elise07,elise11,0
elise07,elise12,0
elise07,elise13,1
elise07,elise14,1
elise07,elise15,1
elise07,elise16,1
elise07,elise17,1
elise07,elise18,0
elise07,elise19,1
elise07,elise20,0
elise07,elise21,1
elise07,elise22,1
elise07,elise23,1
elise07,elise24,0
elise07,elise25,0
elise07,elise26,0
elise07,elise27,1
elise07,elise28,1
elise07,elise29,1
elise07,elise30,1
elise08,elise09,0
elise08,elise10,1
elise08,elise11,0
elise08,elise12,-1
elise08,elise13,0
elise08,elise14,1
elise08,elise15,1
elise08,elise16,1
elise08,elise17,0
elise08,elise18,-1
elise08,elise19,0
elise08,elise20,0
elise08,elise21,1
elise08,elise22,1
elise08,elise23,0
elise08,elise24,-1
elise08,elise25,-1
elise08,elise26,-1
elise08,elise27,-1
elise08,elise28,0
elise08,elise29,0
elise08,elise30,1
elise09,elise10,1
elise09,elise11,0
elise09,elise12,0
elise09,elise13,0
elise09,elise14,1
elise09,elise15,1
elise09,elise16,1
elise09,elise17,1
elise09,elise18,0
elise09,elise19,0
elise09,elise20,0
elise09,elise21,1
elise09,elise22,1
elise09,elise23,0
elise09,elise24,-1
elise09,elise25,-1
elise09,elise26,-1
elise09,elise27,-1
elise09,elise28,0
elise09,elise29,1
elise09,elise30,1
elise10,elise11,-1
elise10,elise12,-1
elise10,elise13,-1
elise10,elise14,1
elise10,elise15,1
elise10,elise16,0
elise10,elise17,0
elise10,elise18,-1
elise10,elise19,-1
elise10,elise20,1
elise10,elise21,-1
elise10,elise22,1
elise10,elise23,0
elise10,elise24,-1
elise10,elise25,-1
elise10,elise26,-1
elise10,elise27,-1
elise10,elise28,0
elise10,elise29,0
elise10,elise30,1
elise11,elise12,-1
elise11,elise13,-1
elise11,elise14,1
elise11,elise15,1
elise11,elise16,1
elise11,elise17,1
elise11,elise18,-1
elise11,elise19,0
elise11,elise20,-1
elise11,elise21,1
elise11,elise22,1
elise11,elise23,0
elise11,elise24,-1
elise11,elise25,-1
elise11,elise26,-1
elise11,elise27,-1
elise11,elise28,1
elise11,elise29,1
elise11,elise30,1
elise12,elise13,0
elise12,elise14,1
elise12,elise15,1
elise12,elise16,1
elise12,elise17,0
elise12,elise18,-1
elise12,elise19,0
elise12,elise20,-1
elise12,elise21,1
elise12,elise22,1
elise12,elise23,0
elise12,elise24,-1
elise12,elise25,0
elise12,elise26,0
elise12,elise27,0
elise12,elise28,1
elise12,elise29,1
elise12,elise30,1
elise13,elise14,1
elise13,elise15,1
elise13,elise16,1
elise13,elise17,1
elise13,elise18,0
elise13,elise19,1
elise13,elise20,0
elise13,elise21,1
elise13,elise22,1
elise13,elise23,1
elise13,elise24,0
elise13,elise25,0
elise13,elise26,0
elise13,elise27,1
elise13,elise28,1
elise13,elise29,1
elise13,elise30,1
elise14,elise15,0
elise14,elise16,-1
elise14,elise17,-1
elise14,elise18,-1
elise14,elise19,-1
elise14,elise20,0
elise14,elise21,-1
elise14,elise22,0
elise14,elise23,-1
elise14,elise24,-1
elise14,elise25,-1
elise14,elise26,-1
elise14,elise27,-1
elise14,elise28,-1
elise14,elise29,-1
elise14,elise30,-1
elise15,elise16,0
elise15,elise17,1
elise15,elise18,-1
elise15,elise19,0
elise15,elise20,0
elise15,elise21,1
elise15,elise22,0
elise15,elise23,0
elise15,elise24,-1
elise15,elise25,-1
elise15,elise26,-1
elise15,elise27,-1
elise15,elise28,-1
elise15,elise29,0
elise15,elise30,0
elise16,elise17,0
elise16,elise18,-1
elise16,elise19,-1
elise16,elise20,-1
elise16,elise21,-1
elise16,elise22,0
elise16,elise23,-1
elise16,elise24,-1
elise16,elise25,-1
elise16,elise26,-1
elise16,elise27,-1
elise16,elise28,-1
elise16,elise29,-1
elise16,elise30,0
elise17,elise18,-1
elise17,elise19,-1
elise17,elise20,-1
elise17,elise21,0
elise17,elise22,0
elise17,elise23,-1
elise17,elise24,-1
elise17,elise25,-1
elise17,elise26,-1
elise17,elise27,-1
elise17,elise28,-1
elise17,elise29,-1
elise17,elise30,0
elise18,elise19,1
elise18,elise20,1
elise18,elise21,1
elise18,elise22,1
elise18,elise23,1
elise18,elise24,-1
elise18,elise25,-1
elise18,elise26,-1
elise18,elise27,0
elise18,elise28,0
elise18,elise29,1
elise18,elise30,1
elise19,elise20,0
elise19,elise21,1
elise19,elise22,1
elise19,elise23,1
elise19,elise24,-1
elise19,elise25,-1
elise19,elise26,-1
elise19,elise27,0
elise19,elise28,0
elise19,elise29,1
elise19,elise30,1
elise20,elise21,1
elise20,elise22,1
elise20,elise23,1
elise20,elise24,-1
