ID,start_time,end_time,title
1,0:00,0:29,Mary had a little lamb
2,0:02,0:22,hymn of praise
3,0:26,0:50,the popcorn man
4,0:55,1:35,charlie the chimp
5,1:40,2:05,a riddle
6,0:08,0:58,take me out to the ball game
7,0:01,1:17,2016-11-04 Samuel Piano Practice
8,0:00,0:56,come and dance the polka
9,0:00,0:28,funny event
10,0:00,0:51,on the run
11,0:00,1:00,the sparkling brook
12,0:00,0:19,the hunt
13,0:00,0:56,down in the valley
14,0:00,1:28,ballade (burgmuller)
15,0:00,2:28,bach prelude in c major
16,0:03,2:30,tarantella fantastica
17,0:00,1:03,reflections
18,0:00,1:42,schumann folk song
19,0:01,0:43,screamin cat boogie
20,0:14,1:55,gentle breeze
21,5:11,7:30,bach courante
22,7:37,10:01,soler sonata in f
23,10:10,13:40,scott water wagtail
24,0:01,1:05,hiller-polnisches
25,0:03,2:17,slow air
26,0:05,2:32,tarantella (albert pieczonka)
27,0:07,1:07,invention no 8 in f major
28,1:15,3:05,sonatina in c major friedrich kuhlau
29,3:14,4:17,waltz by viktor kosenko
30,0:03,3:27,Turkish march mozart
31,0:06,2:36,bach BWV829
32,2:48,6:39,beethoven op 10 no 1 1st movement
33,6:47,9:07,chopin grande valse brillante op 34 no3 
34,0:00,0:31,a1
35,0:31,1:11,a2
36,1:11,1:40,a3
37,0:00,0:34,a1
38,0:34,1:07,a2
39,1:07,1:37,a3
40,0:00,0:37,a1
41,0:37,1:07,a2
42,1:07,1:54,a3
43,0:00,1:13,a1
44,1:13,2:29,a2
45,2:29,3:20,a3
46,0:01,1:33,bach invention no 14
47,0:01,2:09,Daquin le coucou
48,0:01,1:41,sibelius etude op 76 no 2
49,0:01,5:36,mehul fierement op 1 no 2
50,0:10,1:25,sinfonia 10 in g major
51,1:33,3:19,grieg butterfly op 43 no1
52,3:28,5:28,over the rainbow arranged by greg shearing
53,0:01,0:30,a1
54,0:01,0:36,c1
55,0:01,0:58,b1
56,0:01,1:13,a2
57,1:13,2:11,a2
58,0:06,2:41,chopin prelude in b minor op 28 no 6
59,0:09,4:37,mozart's sonata in c major 2nd movement
60,0:05,4:56,nocturne in g minor op 15 no 3
61,0:01,3:01,beethoven bagatelle op 33 #2
