filename,ID,start_time,end_time,title
elise01,KQ3pdH2ki4A,02:44,06:14,ピアノ発表会♪小学5年生が「エリーゼのために」を発表会本番で演奏！グランドピアノで。
elise02,jFqNaH1FoEM,00:26,02:38,randma can you play Elise?【８０才】【どっきり】おばあちゃん、エリーゼ弾ける？
elise03,N6ei3xMoD4k,00:55,06:07,もうすぐピアノ発表会！本番1ヶ月前の練習♪どこまで上達した？【エリーゼのために】
elise04,KtjdZKrl-j8,00:01,02:49,【都庁ピアノ】「エリーゼのために」を演奏してみた！
elise05,C0dk7_60eHU,00:00,02:56,【演奏】エリーゼのために/ベートーベン(ピアノ)/Beethoven-Für Elise For Elise(piano)
elise06,5gsmpNlNwQ4,00:03,03:50,ピアノ5ヶ月 エリーゼのためにを40日間練習しました
elise07,BSXV1crkcKc,00:05,03:04,エリーゼのために/ベートーヴェン/Für Elise（For Elise)/Beethoven/ピアノ/Piano/弾いてみた/CANACANA
elise08,IkyJa7spXe8,00:02,03:29,【初心者向け/ピアノ練習】ベートーヴェン - 「エリーゼのために」-フル演奏Ver-（Piano/Beethoven/FürElise）
elise09,_a1AgqemdVE,03:54,04:25,ド素人が２年間毎日、ピアノを練習してみた
elise10,SwQdLGQf4QM,00:00,02:13,【猛練習中】１ヶ月エリーゼのためにを練習したら、娘はエリーゼの方になりました。［エリーゼのために］ベートーヴェン/ピアノ演奏
elise11,LSdRSXReAdM,00:02,03:51,エリーゼのために/Fur Elise 近藤由貴 Yuki Kondo
elise12,FO8BsF6mXaw,00:06,03:38,ür Elise/Ludwig van Beethoven エリーゼのために/ベートーヴェン　Takashi Obara 小原孝
elise13,_tlnYH1gyuA,00:01,02:26,アリス＝紗良・オット：エリーゼのために
elise14,2oGJrufm_4w,00:09,02:56,新企画【千秋ピアノ】 エリーゼのために
elise15,m5UkT97b4LY,00:05,00:50,エリーゼのために/ベートーヴェンを弾く山川穂高 ｰ For Elise/Beethoven
elise16,qNmzeI9lk_4,03:09,06:05,【感動】小田原駅でエリーゼのためにをガチ演奏！小学生ピアニストの本気
elise17,Z_-hWZetOS0,00:19,03:18,エリーゼのために♪ベートーベン　幼稚園年長　6歳
elise18,hpfWd31CiGo,00:00,02:52,エリーゼのために （ベートーヴェン） 横内愛弓
elise19,FK4b9aEDj8A,00:03,02:57,大人初心者　エリーゼのために、弾きました
elise20,Ohq4fbIkPiA,00:14,03:26,【都庁ピアノ】永遠の名曲【エリーゼのために】Für Elise/For Elise
elise21,ZhtGl9JmxR4,00:24,03:34,【エリーゼのために】小学2年生 最後で本気のピアノ演奏！Für Elise / Beethoven
elise22,ZAsBiDXRQdM,00:00,02:15,エリーゼのために(ベートーベン作曲）小2のY君
elise23,_DUSWE8qbgA,00:00,02:53,ベートーヴェン作曲 エリーゼのために/小学４年生 あやちゃん
elise24,t3LtPjj3C84,00:03,02:32,TNA2015コンペ全国決勝／C級 金賞 渡邉奏
elise25,vNC-T_y0RVU,00:04,03:07,ベートーヴェン: バガテル「エリーゼのために」　イ短調　Beethoven Ludwig van／Bagatelle 'Für Elise'　WoO.59 Pf.萬谷衣里:Mantani Eri
elise26,73tAER-jzm8,00:21,03:31,【今聴きたいピアノ曲】エリーゼのために〜ベートーヴェン Beethoven: Für Elise
elise27,wmm-spjr-CE,00:01,02:52,【ピアノ発表会おすすめ】エリーゼのために ♫ ベートーヴェン / Fur Elise Beethoven
elise28,p3vJq7HNoJI,00:00,01:34,エリーゼのために　うらがみのぴあ
elise29,xVyhTmihBtg,00:05,03:30,大人から始めるピアノ　fur Elise 　エリーゼのために
elise30,fWlj4ayqxOc,00:00,03:45,「エリーゼのために」
psa01,xMJNc4smQII,00:00,00:29,Mary had a little lamb
psa02,QY8y0vhGNGE,00:02,00:22,hymn of praise
psa03,QY8y0vhGNGE,00:26,00:50,the popcorn man
psa04,QY8y0vhGNGE,00:55,01:35,charlie the chimp
psa05,QY8y0vhGNGE,01:40,02:05,a riddle
psa06,g8Own65BoIQ,00:08,00:58,take me out to the ball game
psa07,3H8I--rq0XM,00:01,01:17,2016-11-04 Samuel Piano Practice
psa08,B139lPF_GKc,00:00,00:56,come and dance the polka
psa09,dV22vwiMJbU,00:00,00:28,funny event
psa10,tf0ryKMd55M,00:00,00:51,on the run
psa11,PPk61HvL410,00:00,01:00,the sparkling brook
psa12,mxsk1fLGOFk,00:00,00:19,the hunt
psa13,Onr0UtD-h18,00:00,00:56,down in the valley
psa14,w5txqYf3O88,00:00,01:28,ballade (burgmuller)
psa15,9wcvFDCOCt0,00:00,02:28,bach prelude in c major
psa16,uvySIMxKKYE,00:03,02:30,tarantella fantastica
psa17,GX2UcixIOxg,00:00,01:03,reflections
psa18,SwBf-f7A8rM,00:00,01:42,schumann folk song
psa19,cdXdpKyMQrQ,00:01,00:43,screamin cat boogie
psa20,fZJn3Okr3kw,00:14,01:55,gentle breeze
psa21,qyZ89gwlGSc,05:11,07:30,bach courante
psa22,qyZ89gwlGSc,07:37,010:01,soler sonata in f
psa23,qyZ89gwlGSc,010:100,13:40,scott water wagtail
psa24,2EhP7I93bCM,00:01,01:05,hiller-polnisches
psa25,ginUnSzOYdg,00:03,02:17,slow air
psa26,P2aBX3MM6Yc,00:05,02:32,tarantella (albert pieczonka)
psa27,-cfXWO4noqw,00:07,01:07,invention no 8 in f major
psa28,-cfXWO4noqw,01:15,03:05,sonatina in c major friedrich kuhlau
psa29,-cfXWO4noqw,03:14,04:17,waltz by viktor kosenko
psa30,YEV_NaWXLIo,00:03,03:27,Turkish march mozart
psa31,mZqbQJOE7og,00:06,02:36,bach BWV829
psa32,mZqbQJOE7og,02:48,06:39,beethoven op 10 no 1 1st movement
psa33,mZqbQJOE7og,06:47,09:07,chopin grande valse brillante op 34 no3 
psa34,4VaKkUJThPg,00:00,00:31,a1
